Name,Pos,Date,Team,Opp,Result,Att,Cmp,Pct,Yds,YPA,TD,Int,Lg,Sack,Rate,,,,,,,,,,
AJ Feeley,QB,1/6/02,Phi,@ TB,"W, 17-13",14,10,71.4,143,10.2,2,1,27,0/0,114,,,,,,,,,,
,,Date,Team,Opp,Result,Att,Cmp,Pct,Yds,YPA,TD,Int,Lg,Sack,Rate,Date,Team,Opp,Result,Att,Yds,Avg,Lg,TD,FD
,,11/25/02,Phi,@ SF,"W, 38-17",3,3,100,17,5.7,1,0,8,0/0,129.9,11/25/02,Phi,@ SF,"W, 38-17",2,-3,-1.5,-1,0,0
,,12/1/02,Phi,Stl,"W, 10-3",30,14,46.7,181,6,0,0,41,24-Mar,66.1,12/1/02,Phi,Stl,"W, 10-3",2,3,1.5,4,0,0
,,12/8/02,Phi,@ Sea,"W, 27-20",35,21,60,190,5.4,2,1,22,0/0,81.8,12/8/02,Phi,@ Sea,"W, 27-20",3,0,0,1,0,0
,,12/15/02,Phi,Was,"W, 34-21",28,16,57.1,220,7.9,2,1,53,10-Feb,91.4,12/15/02,Phi,Was,"W, 34-21",2,5,2.5,6,0,0
,,12/21/02,Phi,@ Dal,"W, 27-3",33,19,57.6,253,7.7,1,2,41,8-Jan,66.9,12/21/02,Phi,@ Dal,"W, 27-3",2,2,1,4,0,0
,,12/28/02,Phi,@ NYG,"L, 10-7",25,13,52,150,6,0,1,35,6-Jan,53.8,12/28/02,Phi,@ NYG,"L, 10-7",1,-1,-1,-1,0,0
,,9/11/04,Mia,Ten,"L, 17-7",31,21,67.7,168,5.4,1,1,19,42411,78.4,9/11/04,Mia,Ten,"L, 17-7",0,0,0,0,0,0
,,9/19/04,Mia,@ Cin,"L, 16-13",39,21,53.8,218,5.6,1,2,37,42417,57.4,9/19/04,Mia,@ Cin,"L, 16-13",1,3,3,3,0,0
,,9/26/04,Mia,Pit,"L, 13-3",27,13,48.1,137,5.1,0,2,36,42449,32.5,9/26/04,Mia,Pit,"L, 13-3",4,1,0.25,2,0,1
,,10/10/04,Mia,@ NE,"L, 24-10",2,1,50,6,3,0,0,6,0/0,56.3,10/10/04,Mia,@ NE,"L, 24-10",0,0,0,0,0,0
,,11/7/04,Mia,Ari,"L, 24-23",15,6,40,129,8.6,0,1,38,42375,43.5,11/7/04,Mia,Ari,"L, 24-23",0,0,0,0,0,0
,,11/21/04,Mia,@ Sea,"L, 24-17",45,23,51.1,229,5.1,1,2,28,42440,54.8,11/21/04,Mia,@ Sea,"L, 24-17",1,7,7,7t,1,1
,,11/28/04,Mia,@ SF,"W, 24-17",33,17,51.5,159,4.8,2,1,25t,42377,72.7,11/28/04,Mia,@ SF,"W, 24-17",4,2,0.5,2,0,0
,,12/5/04,Mia,Buf,"L, 42-32",51,25,49,303,5.9,3,5,36,42375,47.7,12/5/04,Mia,Buf,"L, 42-32",0,0,0,0,0,0
,,12/12/04,Mia,@ Den,"L, 20-17",35,17,48.6,170,4.9,1,1,21,42486,60.4,12/12/04,Mia,@ Den,"L, 20-17",2,2,1,2,0,0
,,12/20/04,Mia,NE,"W, 29-28",35,22,62.9,198,5.7,1,0,21t,42479,87.6,12/20/04,Mia,NE,"W, 29-28",2,-2,-1,-1,0,0
,,12/26/04,Mia,Cle,"W, 10-7",43,25,58.1,176,4.1,1,0,18t,42412,75.3,12/26/04,Mia,Cle,"W, 10-7",0,0,0,0,0,0
,,11/26/06,Phi,@ Ind,"L, 45-21",5,4,80,21,4.2,0,0,8,42379,84.2,11/26/06,Phi,@ Ind,"L, 45-21",0,0,0,0,0,0
,,12/31/06,Phi,Atl,"W, 24-17",33,22,66.7,321,9.7,3,0,89t,0/0,128.5,12/31/06,Phi,Atl,"W, 24-17",1,3,3,3,0,0
,,11/18/07,Phi,Mia,"W, 17-7",19,13,68.4,116,6.1,1,1,24,0/0,80.2,11/18/07,Phi,Mia,"W, 17-7",2,7,3.5,4,0,0
,,11/25/07,Phi,@ NE,"L, 31-28",42,27,64.3,345,8.2,3,3,28t,42409,83.9,11/25/07,Phi,@ NE,"L, 31-28",1,2,2,2,0,1
,,12/2/07,Phi,Sea,"L, 28-24",42,19,45.2,220,5.2,1,4,47,42370,30,12/2/07,Phi,Sea,"L, 28-24",4,14,3.5,7,0,
,,9/11/11,Stl,Phi,"L, 31-13",5,1,20,21,4.2,0,0,21,42375,44.6,9/11/11,Stl,Phi,"L, 31-13",0,0,0,0,0,0
,,10/23/11,Stl,@ Dal,"L, 34-7",33,20,60.6,196,5.9,0,1,34,42370,64.7,10/23/11,Stl,@ Dal,"L, 34-7",1,-1,-1,-1,0,0
,,10/30/11,Stl,NO,"W, 31-21",37,20,54.1,175,4.7,1,0,17,12875,75.8,10/30/11,Stl,NO,"W, 31-21",2,5,2.5,6,0,1
,,12/4/11,Stl,@ SF,"L, 26-0",22,12,54.5,156,7.1,0,1,34,42490,58.1,12/4/11,Stl,@ SF,"L, 26-0",0,0,0,0,0,0
Aaron Rogers,QB,10/9/05,GB,NO,"W, 52-3",1,1,100,0,0,0,0,0,0/0,79.2,0/09/05,GB,NO,"W, 52-3",0,0,0,0,0,0
,,12/19/05,GB,@ Bal,"L, 48-3",15,8,53.3,65,4.3,0,1,16,28-Mar,36.8,12/19/05,GB,@ Bal,"L, 48-3",1,8,8,8,0,1
,,1/1/06,GB,Sea,"W, 23-17",0,0,0,0,0,0,0,0,0/0,0,1/1/06,GB,Sea,"W, 23-17",1,-1,-1,-1,0,0
,,10/2/06,GB,@ Phi,"L, 31-9",3,2,66.7,14,4.7,0,0,11,0/0,77.1,10/2/06,GB,@ Phi,"L, 31-9",0,0,0,0,0,0
,,11/19/06,GB,NE,"L, 35-0",12,4,33.3,32,2.7,0,0,16,18-Mar,42.4,11/19/06,GB,NE,"L, 35-0",2,11,5.5,6,0,1
,,11/11/07,GB,Min,"W, 34-0",2,2,100,17,8.5,0,0,15,0/0,102.1,11/11/07,GB,Min,"W, 34-0",2,-1,-0.5,0,0,0
,,11/29/07,GB,@ Dal,"L, 37-27",26,18,69.2,201,7.7,1,0,43,24-Mar,104.8,11/29/07,GB,@ Dal,"L, 37-27",5,30,6,13,0,3
,,9/8/08,GB,Min,"W, 24-19",22,18,81.8,178,8.1,1,0,56,0/0,115.5,9/8/08,GB,Min,"W, 24-19",8,35,4.38,21,1,4
,,9/14/08,GB,@ Det,"W, 48-25",38,24,63.2,328,8.6,3,0,62,4-Jan,117,9/14/08,GB,@ Det,"W, 48-25",4,25,6.25,13,0,1
,,9/21/08,GB,Dal,"L, 27-16",39,22,56.4,290,7.4,0,0,50,May-40,80.1,9/21/08,GB,Dal,"L, 27-16",5,10,2,5,1,1
,,9/28/08,GB,@ TB,"L, 30-21",27,14,51.9,165,6.1,2,3,48t,18-Mar,55.9,9/28/08,GB,@ TB,"L, 30-21",2,8,4,7,0,1
,,10/5/08,GB,Atl,"L, 27-24",37,25,67.6,313,8.5,3,1,44t,9-Feb,109.4,10/5/08,GB,Atl,"L, 27-24",2,4,2,3,0,0
,,10/12/08,GB,@ Sea,"W, 27-17",30,21,70,208,6.9,2,0,45t,8-Feb,111.5,10/12/08,GB,@ Sea,"W, 27-17",6,23,3.83,16,1,3
,,10/19/08,GB,Ind,"W, 34-14",28,21,75,186,6.6,1,0,24,0/0,104.2,10/19/08,GB,Ind,"W, 34-14",3,8,2.67,9,0,1
,,11/2/08,GB,@ Ten,"L, 19-16",41,22,53.7,314,7.7,1,1,52,26-Apr,76.7,11/2/08,GB,@ Ten,"L, 19-16",2,11,5.5,6,0,1
,,11/9/08,GB,@ Min,"L, 28-27",26,15,57.7,142,5.5,0,0,19,Apr-32,72.9,11/9/08,GB,@ Min,"L, 28-27",1,1,1,1,0,0
,,11/16/08,GB,Chi,"W, 37-3",30,23,76.7,227,7.6,2,1,29,0/0,105.8,11/16/08,GB,Chi,"W, 37-3",1,1,1,1,0,1
,,11/24/08,GB,@ NO,"L, 51-29",41,23,56.1,248,6,2,3,29,14-Feb,59.8,11/24/08,GB,@ NO,"L, 51-29",8,36,4.5,10t,1,3
,,11/30/08,GB,Car,"L, 35-31",45,29,64.4,298,6.6,3,1,46,5-Feb,96.3,11/30/08,GB,Car,"L, 35-31",5,26,5.2,16,0,3
,,12/7/08,GB,Hou,"L, 24-21",30,19,63.3,295,9.8,2,1,63,16-Feb,104.2,12/7/08,GB,Hou,"L, 24-21",1,4,4,4,0,0
,,12/14/08,GB,@ Jax,"L, 20-16",32,20,62.5,278,8.7,1,1,46,24-Mar,87.8,12/14/08,GB,@ Jax,"L, 20-16",5,22,4.4,7,0,2
,,12/22/08,GB,@ Chi,"L, 20-17",39,24,61.5,260,6.7,2,1,35,0/0,87.6,12/22/08,GB,@ Chi,"L, 20-17",2,-6,-3,-1,0,0
,,12/28/08,GB,Det,"W, 31-21",31,21,67.7,308,9.9,3,0,71t,Apr-35,132.2,12/28/08,GB,Det,"W, 31-21",1,-1,-1,-1,0,
,,9/13/09,GB,Chi,"W, 21-15",28,17,60.7,184,6.6,1,0,50t,Apr-34,92,9/13/09,GB,Chi,"W, 21-15",0,0,0,0,0,0
,,9/20/09,GB,Cin,"L, 31-24",39,21,53.8,261,6.7,1,0,26,Jun-39,83.4,9/20/09,GB,Cin,"L, 31-24",0,0,0,0,0,0
,,9/27/09,GB,@ Stl,"W, 36-17",23,13,56.5,269,11.7,2,0,53,19-Feb,126.9,9/27/09,GB,@ Stl,"W, 36-17",0,0,0,0,0,0
,,10/5/09,GB,@ Min,"L, 30-23",37,26,70.3,384,10.4,2,1,62t,Aug-42,110.6,10/5/09,GB,@ Min,"L, 30-23",0,0,0,0,0,0
,,10/18/09,GB,Det,"W, 26-0",37,29,78.4,358,9.7,2,1,47t,30-May,113.7,10/18/09,GB,Det,"W, 26-0",0,0,0,0,0,0
,,10/25/09,GB,@ Cle,"W, 31-3",20,15,75,246,12.3,3,0,71t,0/0,155.4,10/25/09,GB,@ Cle,"W, 31-3",0,0,0,0,0,0
,,11/1/09,GB,Min,"L, 38-26",41,26,63.4,287,7,3,0,42,29-Jun,108.5,11/1/09,GB,Min,"L, 38-26",0,0,0,0,0,0
,,11/8/09,GB,@ TB,"L, 38-28",35,17,48.6,266,7.6,2,3,74t,Jun-32,57.6,11/8/09,GB,@ TB,"L, 38-28",0,0,0,0,0,1
,,11/15/09,GB,Dal,"W, 17-7",36,25,69.4,189,5.2,1,0,24,11-Apr,91.1,11/15/09,GB,Dal,"W, 17-7",0,0,0,0,0,0
,,11/22/09,GB,SF,"W, 30-24",45,32,71.1,344,7.6,2,0,64t,18-Feb,108,11/22/09,GB,SF,"W, 30-24",0,0,0,0,0,0
,,11/26/09,GB,@ Det,"W, 34-12",39,28,71.8,348,8.9,3,0,68,6-Jan,124.7,11/26/09,GB,@ Det,"W, 34-12",0,0,0,0,0,0
,,12/7/09,GB,Bal,"W, 27-14",40,26,65,263,6.6,3,2,29,7-Jan,87.8,12/7/09,GB,Bal,"W, 27-14",0,0,0,0,0,0
,,12/13/09,GB,@ Chi,"W, 21-14",24,16,66.7,180,7.5,0,0,25,23-Mar,88.9,12/13/09,GB,@ Chi,"W, 21-14",0,0,0,0,0,0
,,12/20/09,GB,@ Pit,"L, 37-36",48,26,54.2,383,8,3,0,83t,7-Jan,101.3,12/20/09,GB,@ Pit,"L, 37-36",0,0,0,0,0,0
,,12/27/09,GB,Sea,"W, 48-10",23,12,52.2,237,10.3,1,0,40,9-Jan,103,12/27/09,GB,Sea,"W, 48-10",0,0,0,0,0,0
,,1/3/10,GB,@ Ari,"W, 33-7",26,21,80.8,235,9,1,0,51,0/0,117.1,1/3/10,GB,@ Ari,"W, 33-7",0,0,0,0,0,0
,,1/10/10,GB,@ Ari,"L, 51-45",42,28,66.7,422,10,4,1,44,19-May,121.3,1/10/10,GB,@ Ari,"L, 51-45",0,0,0,0,0,0
,,9/12/10,GB,@ Phi,"W, 27-20",31,19,61.3,188,6.1,2,2,32t,21-Mar,73.1,9/12/10,GB,@ Phi,"W, 27-20",5,9,1.8,7,0,1
,,9/19/10,GB,Buf,"W, 34-7",29,19,65.5,255,8.8,2,0,34,0/0,116.3,9/19/10,GB,Buf,"W, 34-7",5,20,4,12,1,2
,,9/27/10,GB,@ Chi,"L, 20-17",45,34,75.6,316,7,1,1,28,0/0,92.5,9/27/10,GB,@ Chi,"L, 20-17",2,20,10,17,1,2
,,10/3/10,GB,Det,"W, 28-26",17,12,70.6,181,10.6,3,2,48,12-Feb,105.3,10/3/10,GB,Det,"W, 28-26",3,20,6.67,16,0,1
,,10/10/10,GB,@ Was,"L, 16-13",46,27,58.7,293,6.4,1,1,35,23-Apr,75.7,10/10/10,GB,@ Was,"L, 16-13",4,30,7.5,15,0,1
,,10/17/10,GB,Mia,"L, 23-20",33,18,54.5,313,9.5,1,1,86t,30-May,84.5,10/17/10,GB,Mia,"L, 23-20",4,14,3.5,8,1,1
,,10/24/10,GB,Min,"W, 28-24",34,21,61.8,295,8.7,2,2,45,0/0,84.8,10/24/10,GB,Min,"W, 28-24",3,14,4.67,11,0,1
,,10/31/10,GB,@ NYJ,"W, 9-0",34,15,44.1,170,5,0,0,30,14-Feb,59.7,10/31/10,GB,@ NYJ,"W, 9-0",3,5,1.67,5,0,0
,,11/7/10,GB,Dal,"W, 45-7",34,27,79.4,289,8.5,3,0,33,12-Jan,131.5,11/7/10,GB,Dal,"W, 45-7",5,41,8.2,27,0,2
,,11/21/10,GB,@ Min,"W, 31-3",31,22,71,301,9.7,4,0,47,23-Mar,141.3,11/21/10,GB,@ Min,"W, 31-3",3,21,7,15,0,1
,,11/28/10,GB,@ Atl,"L, 20-17",35,26,74.3,344,9.8,1,0,35,3-Jan,114.5,11/28/10,GB,@ Atl,"L, 20-17",12,51,4.25,11,1,4
,,12/5/10,GB,SF,"W, 34-16",30,21,70,298,9.9,3,0,61t,24-Apr,135.1,12/5/10,GB,SF,"W, 34-16",4,39,9.75,12,0,2
,,12/12/10,GB,@ Det,"L, 7-3",11,7,63.6,46,4.2,0,1,12,18-Feb,34.7,12/12/10,GB,@ Det,"L, 7-3",2,25,12.5,18,0,1
,,12/26/10,GB,NYG,"W, 45-17",37,25,67.6,404,10.9,4,0,80t,8-Feb,139.9,12/26/10,GB,NYG,"W, 45-17",2,26,13,15,0,2
,,1/2/11,GB,Chi,"W, 10-3",28,19,67.9,229,8.2,1,1,46,5-Feb,89.7,1/2/11,GB,Chi,"W, 10-3",7,21,3,7,0,1
,,1/9/11,GB,@ Phi,"W, 21-16",27,18,66.7,180,6.7,3,0,20,9-Feb,122.5,1/9/11,GB,@ Phi,"W, 21-16",3,4,1.33,8,0,1
,,1/15/11,GB,@ Atl,"W, 48-21",36,31,86.1,366,10.2,3,0,34,20-Feb,136.8,1/15/11,GB,@ Atl,"W, 48-21",2,13,6.5,7t,1,1
,,1/23/11,GB,@ Chi,"W, 21-14",30,17,56.7,244,8.1,0,2,26,8-Jan,55.4,1/23/11,GB,@ Chi,"W, 21-14",7,39,5.57,25,1,4
,,2/6/11,GB,Pit,"W, 31-25",39,24,61.5,304,7.8,3,0,38,16-Mar,111.5,2/6/11,GB,Pit,"W, 31-25",2,-2,-1,-1,0,0
,,9/8/11,GB,NO,"W, 42-34",35,27,77.1,312,8.9,3,0,36,16-Feb,132.1,9/8/11,GB,NO,"W, 42-34",4,1,0.25,2,0,0
,,9/18/11,GB,@ Car,"W, 30-23",30,19,63.3,308,10.3,2,0,84t,13-Jan,119.9,9/18/11,GB,@ Car,"W, 30-23",5,13,2.6,8,0,0
,,9/25/11,GB,@ Chi,"W, 27-17",38,28,73.7,297,7.8,3,1,25,5-Feb,111.4,9/25/11,GB,@ Chi,"W, 27-17",1,3,3,3,0,0
,,10/2/11,GB,Den,"W, 49-23",38,29,76.3,408,10.7,4,1,61,12-Feb,134.5,10/2/11,GB,Den,"W, 49-23",9,36,4,11t,2,3
,,10/9/11,GB,@ Atl,"W, 25-14",39,26,66.7,396,10.2,2,0,70t,27-Apr,117,10/9/11,GB,@ Atl,"W, 25-14",1,-1,-1,-1,0,0
,,10/16/11,GB,Stl,"W, 24-3",29,18,62.1,316,10.9,3,1,93t,7-Jan,119.3,10/16/11,GB,Stl,"W, 24-3",7,15,2.14,9,0,3
,,10/23/11,GB,@ Min,"W, 33-27",30,24,80,335,11.2,3,0,79t,28-Apr,146.5,10/23/11,GB,@ Min,"W, 33-27",2,8,4,9,0,0
,,11/6/11,GB,@ SD,"W, 45-38",26,21,80.8,247,9.5,4,0,64,15-Apr,145.8,11/6/11,GB,@ SD,"W, 45-38",8,52,6.5,25,0,3
,,11/14/11,GB,Min,"W, 45-7",30,23,76.7,250,8.3,4,0,25,22-Mar,140.3,11/14/11,GB,Min,"W, 45-7",6,21,3.5,9,0,1
,,11/20/11,GB,TB,"W, 35-26",34,23,67.6,299,8.8,3,1,40t,12-Feb,112.3,11/20/11,GB,TB,"W, 35-26",5,28,5.6,11,0,2
,,11/24/11,GB,@ Det,"W, 27-15",33,22,66.7,307,9.3,2,0,65t,11-Feb,116.6,11/24/11,GB,@ Det,"W, 27-15",1,-1,-1,-1,0,0
,,12/4/11,GB,@ NYG,"W, 38-35",46,28,60.9,369,8,4,1,33,9-Feb,106.2,12/4/11,GB,@ NYG,"W, 38-35",4,32,8,13,0,3
,,12/11/11,GB,Oak,"W, 46-16",30,17,56.7,281,9.4,2,1,37t,20-Mar,96.7,12/11/11,GB,Oak,"W, 46-16",0,0,0,0,0,0
,,12/18/11,GB,@ KC,"L, 19-14",35,17,48.6,235,6.7,1,0,41,22-Apr,80.1,12/18/11,GB,@ KC,"L, 19-14",3,32,10.67,19,1,2
,,12/25/11,GB,Chi,"W, 35-21",29,21,72.4,283,9.8,5,0,55t,0/0,142.7,12/25/11,GB,Chi,"W, 35-21",4,18,4.5,12,0,1
,,1/15/12,GB,NYG,"L, 37-20",46,26,56.5,264,5.7,2,1,21,23-Apr,78.5,1/15/12,GB,NYG,"L, 37-20",7,66,9.43,16,0,6
,,9/9/12,GB,SF,"L, 30-22",44,30,68.2,303,6.9,2,1,49,24-Mar,93.3,9/9/12,GB,SF,"L, 30-22",5,27,5.4,9,0,2
,,9/13/12,GB,Chi,"W, 23-10",32,22,68.8,219,6.8,1,1,26t,31-May,85.3,9/13/12,GB,Chi,"W, 23-10",3,-6,-2,-2,0,0
,,9/24/12,GB,@ Sea,"L, 14-12",39,26,66.7,223,5.7,0,0,31,Aug-39,81.5,9/24/12,GB,@ Sea,"L, 14-12",2,17,8.5,16,0,2
,,9/30/12,GB,NO,"W, 28-27",41,31,75.6,319,7.8,4,1,20,0/0,119.9,9/30/12,GB,NO,"W, 28-27",5,13,2.6,10,0,2
,,10/7/12,GB,@ Ind,"L, 30-27",32,20,62.5,235,7.3,3,1,31t,28-May,103,10/7/12,GB,@ Ind,"L, 30-27",5,57,11.4,19,0,2
,,10/14/12,GB,@ Hou,"W, 42-24",37,24,64.9,338,9.1,6,0,48t,10-Feb,133.8,10/14/12,GB,@ Hou,"W, 42-24",2,17,8.5,15,0,2
,,10/21/12,GB,@ Stl,"W, 30-20",37,30,81.1,342,9.2,3,0,52,10-Mar,132.2,10/21/12,GB,@ Stl,"W, 30-20",2,0,0,1,0,0
,,10/28/12,GB,Jax,"W, 24-15",35,22,62.9,186,5.3,2,0,31,14-Feb,95.7,10/28/12,GB,Jax,"W, 24-15",3,4,1.33,4,0,2
,,11/4/12,GB,Ari,"W, 31-17",30,14,46.7,218,7.3,4,1,72t,10-Jan,96.9,11/4/12,GB,Ari,"W, 31-17",8,33,4.12,25,0,2
,,11/18/12,GB,@ Det,"W, 24-20",27,19,70.4,236,8.7,2,1,40,17-Mar,106.4,11/18/12,GB,@ Det,"W, 24-20",1,3,3,3,0,0
,,11/25/12,GB,@ NYG,"L, 38-10",25,14,56,219,8.8,1,1,61t,29-May,81.9,11/25/12,GB,@ NYG,"L, 38-10",3,22,7.33,11,0,1
,,12/2/12,GB,Min,"W, 23-14",35,27,77.1,286,8.2,1,1,33,3-Feb,98,12/2/12,GB,Min,"W, 23-14",4,15,3.75,8,0,1
,,12/9/12,GB,Det,"W, 27-20",24,14,58.3,173,7.2,0,0,38,25-Mar,80.7,12/9/12,GB,Det,"W, 27-20",3,32,10.67,27t,1,2
,,12/16/12,GB,@ Chi,"W, 21-13",36,23,63.9,291,8.1,3,0,31,13-Mar,116.8,12/16/12,GB,@ Chi,"W, 21-13",4,14,3.5,6,0,1
,,12/23/12,GB,Ten,"W, 55-7",38,27,71.1,342,9,3,0,34,8-Jan,125.1,12/23/12,GB,Ten,"W, 55-7",4,11,2.75,6t,1,1
,,12/30/12,GB,@ Min,"L, 37-34",40,28,70,365,9.1,4,0,73,May-32,131.8,12/30/12,GB,@ Min,"L, 37-34",0,0,0,0,0,0
,,1/5/13,GB,Min,"W, 24-10",33,23,69.7,274,8.3,1,0,32,24-Mar,104.9,1/5/13,GB,Min,"W, 24-10",2,12,6,10,0,0
,,1/12/13,GB,@ SF,"L, 45-31",39,26,66.7,257,6.6,2,1,44,9-Jan,91.5,1/12/13,GB,@ SF,"L, 45-31",3,28,9.33,17,0,1
,,9/8/13,GB,@ SF,"L, 34-28",37,21,56.8,333,9,3,1,38,11-Feb,102.6,9/8/13,GB,@ SF,"L, 34-28",2,13,6.5,7,0,1
,,9/15/13,GB,Was,"W, 38-20",42,34,81,480,11.4,4,0,57,Apr-39,146,9/15/13,GB,Was,"W, 38-20",3,-3,-1,-1,0,0
,,9/22/13,GB,@ Cin,"L, 34-30",43,26,60.5,244,5.7,1,2,30,27-Apr,64.5,9/22/13,GB,@ Cin,"L, 34-30",3,24,8,18,0,1
,,10/6/13,GB,Det,"W, 22-9",30,20,66.7,274,9.1,1,0,83t,5-Jan,106.8,10/6/13,GB,Det,"W, 22-9",5,8,1.6,6,0,1
,,10/13/13,GB,@ Bal,"W, 19-17",32,17,53.1,315,9.8,1,1,64t,17-Mar,84.8,10/13/13,GB,@ Bal,"W, 19-17",5,21,4.2,12,0,1
,,10/20/13,GB,Cle,"W, 31-13",36,25,69.4,260,7.2,3,0,39,7-Jan,117.8,10/20/13,GB,Cle,"W, 31-13",4,12,3,5,0,1
,,10/27/13,GB,@ Min,"W, 44-31",29,24,82.8,285,9.8,2,0,76t,3-Feb,130.6,10/27/13,GB,@ Min,"W, 44-31",6,31,5.17,14,0,3
,,11/4/13,GB,Chi,"L, 27-20",2,1,50,27,13.5,0,0,27,3-Jan,95.8,11/4/13,GB,Chi,"L, 27-20",1,9,9,9,0,0
,,12/29/13,GB,@ Chi,"W, 33-28",39,25,64.1,318,8.2,2,2,48t,5-Mar,85.2,12/29/13,GB,@ Chi,"W, 33-28",1,5,5,5,0,1
,,1/5/14,GB,SF,"L, 23-20",26,17,65.4,177,6.8,1,0,26,20-Apr,97.8,1/5/14,GB,SF,"L, 23-20",2,11,5.5,9,0,1
,,9/4/14,GB,@ Sea,"L, 36-16",33,23,69.7,189,5.7,1,1,23,14-Mar,81.5,9/4/14,GB,@ Sea,"L, 36-16",0,0,0,0,0,0
,,9/14/14,GB,NYJ,"W, 31-24",42,25,59.5,346,8.2,3,0,80t,Apr-36,109.8,9/14/14,GB,NYJ,"W, 31-24",6,28,4.67,11,0,3
,,9/21/14,GB,@ Det,"L, 19-7",27,16,59.3,162,6,1,0,18,15-Feb,88.8,9/21/14,GB,@ Det,"L, 19-7",0,0,0,0,0,0
